question,answer
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 beetles, 6 sea slugs, 8 elephants?
",86
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 lions, 5 horses, 13 jellyfishs, 15 shrimps, 5 cockroachs, 8 wasps?
",272
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 chickens, 10 praying mantiss, 1 sea slug, 15 ducks, 14 starfishs, 8 lobsters?
",262
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 sheeps, 15 dogs, 1 tiger, 13 elephants, 15 fireflys, 14 praying mantiss, 2 cockroachs?
",326
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 cows, 6 shrimps, 2 lions, 7 insects, 8 sheeps, 6 crabs, 3 wasps, 6 butterflys, 11 snakes, 1 giraffe?
",284
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 leechs, 9 giraffes, 3 praying mantiss, 3 starfishs, 1 butterfly?
",75
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 cockroachs, 5 sheeps, 2 tigers, 14 fireflys, 11 chickens, 5 bees, 14 beetles, 12 jellyfishs, 10 praying mantiss, 1 ant?
",338
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 humans, 13 wasps, 4 lobsters, 12 sea slugs, 14 lions, 13 deers, 11 butterflys, 3 praying mantiss, 2 shrimps, 14 insects?
",440
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 sheeps, 6 woodlouses, 14 scorpions, 11 elephants, 7 cockroachs, 15 praying mantiss, 4 tigers, 2 crabs, 15 deers?
",528
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 starfishs, 5 crickets, 14 giraffes, 13 cockroachs?
",189
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 humans, 7 grasshoppers, 8 praying mantiss, 10 deers?
",150
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 scorpions, 9 humans, 6 giraffes, 3 crickets, 9 fireflys, 11 tigers, 13 beetles, 13 crabs, 13 ants, 2 cats?
",516
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 birds, 6 cats, 6 leechs?
",44
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 sheeps, 2 praying mantiss, 3 cockroachs, 14 ducks?
",82
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 scorpions, 1 snake, 10 tigers, 4 dogs, 9 horses, 1 lobster, 14 jellyfishs, 12 birds?
",198
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 cows, 12 butterflys, 12 lobsters, 11 beetles?
",278
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 humans, 8 scorpions, 7 fireflys, 9 cows, 9 praying mantiss, 4 starfishs, 8 sheeps?
",252
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 insects, 14 humans, 15 starfishs, 4 cows?
",209
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 crickets, 2 praying mantiss, 13 jellyfishs, 5 scorpions, 5 fireflys, 8 butterflys, 12 flatworms, 14 cockroachs, 11 spiders, 6 cats?
",416
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 praying mantiss, 5 bees, 13 horses, 14 starfishs, 8 flatworms, 8 grasshoppers, 4 spiders, 2 humans?
",266
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 insects, 10 horses, 4 giraffes, 3 shrimps, 9 humans, 11 sheeps, 11 lobsters?
",312
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 birds, 11 starfishs, 7 tigers, 13 crickets, 11 jellyfishs, 4 dogs?
",207
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 cockroachs, 2 butterflys, 6 cats, 1 giraffe, 4 spiders?
",90
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 wasp, 9 lobsters, 13 grasshoppers, 14 beetles, 7 crabs, 15 woodlouses, 4 cows?
",554
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 ants, 14 shrimps, 10 lobsters, 1 bee, 15 fireflys, 6 sea slugs, 5 chickens, 12 leechs, 6 elephants, 4 woodlouses?
",504
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 spiders, 5 scorpions, 3 sheeps, 13 cows, 15 cats?
",252
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 praying mantiss, 5 chickens, 2 ducks, 14 bees, 1 jellyfish, 7 flatworms, 3 fireflys, 6 insects, 5 birds, 9 cockroachs?
",234
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 jellyfishs, 14 spiders, 9 snakes, 13 crabs, 12 insects, 6 horses, 10 elephants?
",378
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 birds, 4 insects, 11 horses, 7 elephants, 9 praying mantiss, 14 butterflys?
",254
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 shrimps, 2 insects, 12 snakes?
",142
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 horses, 9 lobsters, 12 birds, 6 deers, 15 ants?
",272
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 horses, 2 ants, 12 cows, 3 snakes, 10 crabs, 3 shrimps, 8 spiders, 7 elephants, 6 leechs?
",298
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 tigers, 14 ducks, 7 butterflys, 6 leechs?
",82
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 chickens, 8 fireflys, 5 starfishs, 6 butterflys, 2 cockroachs, 9 lobsters?
",221
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 cows, 13 cats, 12 wasps, 8 praying mantiss?
",228
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 crabs, 11 shrimps, 11 deers, 6 birds, 1 firefly, 1 cat, 14 grasshoppers, 1 scorpion, 11 jellyfishs?
",368
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 woodlouses, 10 butterflys, 1 human, 10 chickens, 9 shrimps, 15 dogs, 2 crabs, 11 horses, 10 flatworms, 14 wasps?
",422
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 humans, 8 deers, 6 starfishs, 5 crickets, 7 sea slugs?
",114
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 spiders, 5 sea slugs, 13 ducks, 4 snakes, 1 chicken?
",116
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 insect, 3 wasps, 7 lions, 11 birds, 6 ants, 2 jellyfishs, 5 butterflys, 6 cockroachs?
",176
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 crickets, 12 beetles, 14 flatworms, 5 sea slugs, 6 jellyfishs, 1 crab?
",172
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 woodlouses, 11 jellyfishs, 9 butterflys, 2 grasshoppers, 13 flatworms, 8 fireflys, 15 dogs, 4 beetles?
",394
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 bees, 7 horses, 9 cows, 11 elephants, 12 giraffes, 9 ducks, 2 woodlouses, 10 jellyfishs, 8 spiders?
",338
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 praying mantiss, 13 cows, 2 wasps, 9 butterflys, 2 crickets?
",184
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 lobsters, 4 butterflys, 15 praying mantiss, 5 flatworms, 8 scorpions, 12 lions?
",326
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 butterflys, 10 cats, 7 shrimps, 10 cows, 10 bees?
",240
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 lions, 3 leechs, 4 humans, 10 bees, 14 praying mantiss, 1 ant, 1 cricket, 4 spiders, 2 flatworms, 12 giraffes?
",252
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 horses, 1 elephant, 12 wasps?
",100
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 birds, 3 snakes, 13 starfishs, 15 crabs, 3 ants, 2 sheeps, 11 chickens, 7 crickets?
",317
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 sea slugs, 6 shrimps, 7 crabs, 8 fireflys, 12 flatworms, 11 tigers, 5 wasps, 12 jellyfishs, 4 birds, 12 lobsters?
",380
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 crickets, 5 fireflys, 10 starfishs, 1 duck, 12 woodlouses, 11 humans?
",302
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 chickens, 3 bees, 4 deers, 12 horses, 14 starfishs?
",160
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 elephants, 5 praying mantiss, 10 cockroachs, 15 flatworms, 9 birds, 2 woodlouses, 13 tigers?
",220
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 giraffe, 2 grasshoppers, 14 fireflys, 9 deers, 15 leechs, 2 shrimps, 3 tigers, 8 cats, 11 beetles?
",266
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 insects, 4 spiders, 12 horses, 7 wasps, 9 grasshoppers, 4 cats?
",258
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 starfishs, 4 praying mantiss, 12 grasshoppers, 8 cats, 8 beetles, 5 elephants, 6 tigers, 4 spiders, 4 snakes, 12 horses?
",350
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 deers, 6 sea slugs, 4 fireflys?
",60
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 woodlouses, 9 birds, 11 ants, 9 giraffes, 5 flatworms, 10 dogs?
",286
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 horses, 11 humans, 5 lobsters, 11 shrimps, 6 ants, 8 sheeps, 1 scorpion?
",318
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 snakes, 15 humans, 10 ducks, 7 fireflys, 14 crabs, 15 giraffes, 10 lobsters?
",392
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 cows, 2 cats, 12 lions, 9 wasps, 10 shrimps, 6 grasshoppers?
",294
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 starfishs, 6 birds, 15 beetles, 1 sheep, 10 sea slugs?
",131
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 cows, 3 lobsters, 5 crickets, 13 birds, 5 chickens, 4 shrimps, 8 insects?
",200
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 horses, 5 praying mantiss, 12 chickens, 6 insects, 6 lions, 12 elephants?
",218
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 lions, 6 wasps, 5 cows, 3 crabs?
",98
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 starfishs, 5 leechs, 8 beetles, 12 elephants, 4 praying mantiss, 9 cats?
",166
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 deers, 2 chickens, 14 grasshoppers?
",108
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 shrimps, 1 snake, 6 cows, 3 flatworms, 7 grasshoppers, 5 deers, 14 wasps?
",230
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 elephants, 11 starfishs, 1 cow, 2 butterflys, 12 dogs, 11 shrimps?
",269
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 woodlouses, 3 praying mantiss, 8 giraffes?
",204
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 woodlouse, 5 birds, 4 sea slugs?
",24
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 wasps, 6 scorpions, 11 beetles, 9 ducks, 5 fireflys, 11 sea slugs?
",180
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 jellyfishs, 3 wasps, 3 elephants, 11 ants, 13 lobsters, 5 humans, 10 butterflys?
",296
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 deers, 11 cockroachs, 9 praying mantiss, 15 sea slugs, 11 butterflys, 12 giraffes, 2 sheeps, 9 cats, 11 humans?
",324
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 beetles, 2 scorpions, 6 chickens, 10 wasps, 10 sheeps, 2 sea slugs, 12 horses, 3 bees?
",284
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 dogs, 14 grasshoppers, 9 flatworms, 1 cat, 4 jellyfishs, 8 starfishs, 5 lobsters, 4 crickets, 13 bees?
",332
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 butterflys, 4 fireflys, 1 insect, 7 ants, 9 jellyfishs, 7 chickens, 3 crickets, 2 dogs, 5 crabs, 14 ducks?
",220
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 crabs, 10 horses, 9 ducks, 8 sea slugs, 1 spider, 2 humans, 5 fireflys, 12 shrimps, 9 scorpions, 13 giraffes?
",384
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 deers, 3 spiders, 6 sheeps, 11 humans, 5 cockroachs, 6 lobsters, 6 snakes, 14 shrimps?
",356
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 crabs, 8 flatworms, 1 cricket, 3 spiders, 1 horse, 12 lobsters, 10 butterflys, 1 leech, 4 chickens?
",332
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 cows, 8 grasshoppers, 6 insects, 1 horse?
",104
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 bees, 3 cockroachs, 14 starfishs, 8 lions, 3 deers, 6 giraffes?
",174
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 lobster, 9 starfishs, 15 shrimps?
",205
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 sea slugs, 12 deers, 4 lobsters, 1 flatworm?
",88
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 fireflys, 8 cows, 1 woodlouse?
",118
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 cats, 9 spiders, 4 sheeps, 14 butterflys, 10 crabs, 9 tigers, 14 sea slugs, 1 flatworm, 8 dogs, 4 chickens?
",388
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 jellyfishs, 12 sea slugs, 7 elephants, 8 dogs, 3 giraffes?
",72
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 jellyfishs, 8 praying mantiss, 11 chickens, 3 cats, 4 wasps, 7 lobsters, 1 ant, 8 lions, 2 giraffes, 15 sheeps?
",282
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 crabs, 5 snakes, 14 cockroachs, 3 sea slugs, 1 insect, 10 fireflys, 6 sheeps, 12 tigers, 8 ducks?
",258
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 ducks, 15 ants, 2 leechs, 6 cats, 13 woodlouses?
",306
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 wasps, 8 cockroachs, 12 cows, 2 starfishs, 8 grasshoppers?
",238
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 jellyfishs, 5 wasps, 14 butterflys, 9 sheeps, 11 deers, 10 birds, 12 spiders, 4 giraffes, 7 insects?
",368
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 birds, 1 tiger, 1 bee, 13 ducks?
",42
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 wasps, 14 horses, 12 elephants, 5 starfishs, 6 fireflys, 5 dogs, 12 chickens, 15 lions?
",281
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 lions, 2 butterflys, 13 sheeps, 7 beetles, 12 humans, 5 praying mantiss, 11 giraffes, 3 lobsters, 10 jellyfishs?
",266
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 dogs, 13 bees, 8 horses, 10 chickens, 3 sea slugs, 14 humans, 8 insects, 4 flatworms, 15 snakes?
",230
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 leechs, 6 jellyfishs, 11 tigers, 10 grasshoppers, 15 insects, 4 crickets, 13 cockroachs, 4 humans, 14 wasps, 15 lobsters?
",538
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 bees, 8 spiders, 5 lions, 13 cockroachs, 7 scorpions, 7 snakes?
",308
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 grasshoppers, 1 lobster, 10 shrimps, 1 woodlouse, 14 deers, 9 horses, 2 insects?
",312
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 grasshoppers, 9 giraffes, 8 butterflys, 7 dogs, 6 elephants, 15 cats, 3 crickets, 2 praying mantiss, 3 cockroachs, 3 leechs?
",316
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 elephants, 3 cats, 4 sea slugs, 12 lobsters, 2 butterflys, 1 scorpion, 2 humans, 15 shrimps, 12 grasshoppers, 12 leechs?
",386
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 birds, 14 flatworms, 2 grasshoppers, 1 ant, 9 praying mantiss, 5 jellyfishs?
",76
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 cats, 7 cockroachs, 15 giraffes, 1 crab, 5 horses, 11 scorpions, 7 snakes, 4 bees, 8 butterflys?
",324
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 scorpions, 10 ants, 6 wasps, 12 cows?
",264
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 shrimps, 12 cats, 1 elephant, 8 fireflys, 12 jellyfishs, 1 crab?
",190
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 lions, 8 scorpions, 13 horses?
",144
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 cows, 10 spiders, 1 sheep, 12 lions, 2 butterflys, 6 crabs, 3 woodlouses, 1 grasshopper, 15 leechs, 12 cockroachs?
",336
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 starfishs, 7 tigers, 2 praying mantiss, 2 spiders?
",106
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 flatworms, 4 crickets, 3 leechs?
",24
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 grasshoppers, 12 crickets, 10 snakes, 6 insects, 5 jellyfishs?
",156
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 chickens, 7 ants, 10 crickets, 13 insects, 8 woodlouses, 13 snakes?
",322
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 crabs, 9 beetles, 4 bees, 4 cows?
",134
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 crabs, 4 cows, 14 scorpions, 2 humans, 10 butterflys, 1 deer, 3 giraffes?
",308
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 insects, 13 woodlouses, 13 chickens, 1 giraffe, 7 shrimps, 15 tigers, 9 sheeps, 5 flatworms?
",402
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 grasshoppers, 3 humans, 13 praying mantiss, 15 cows, 15 bees, 14 starfishs, 4 cats, 3 chickens, 14 lobsters?
",484
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 horses, 14 lions, 4 starfishs, 10 butterflys, 12 flatworms, 12 wasps, 14 elephants, 1 deer?
",300
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 spider, 3 scorpions, 12 beetles, 8 giraffes, 3 grasshoppers, 8 snakes, 14 cows, 11 butterflys?
",276
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 cockroachs, 2 sea slugs, 4 spiders?
",68
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 giraffes, 13 flatworms, 1 scorpion, 5 horses, 13 tigers, 12 leechs, 10 woodlouses, 3 lobsters, 14 grasshoppers, 14 fireflys?
",450
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 flatworms, 15 elephants, 7 humans?
",74
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 spiders, 15 grasshoppers, 14 horses, 11 wasps, 10 jellyfishs, 15 crickets?
",414
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 shrimps, 12 praying mantiss, 8 giraffes, 5 ants?
",284
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 humans, 1 leech, 10 flatworms, 13 crabs, 13 starfishs, 5 cockroachs?
",255
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 chickens, 4 snakes, 10 tigers, 1 human, 3 scorpions?
",82
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 flatworms, 6 ants, 4 horses, 8 starfishs?
",92
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 butterfly, 11 elephants, 9 shrimps, 8 insects, 12 woodlouses, 15 sheeps, 5 jellyfishs, 2 wasps, 2 scorpions, 4 ducks?
",452
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 chickens, 4 snakes, 14 butterflys, 2 starfishs?
",120
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 snakes, 10 giraffes, 11 insects, 1 ant, 3 crabs, 9 lions, 5 crickets?
",208
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 dogs, 7 starfishs, 3 spiders, 1 firefly?
",113
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 grasshoppers, 6 shrimps, 9 cockroachs, 2 birds, 8 fireflys, 6 humans, 1 snake, 8 crabs?
",336
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 fireflys, 10 dogs, 8 sea slugs, 6 giraffes, 4 spiders, 14 praying mantiss, 6 bees, 4 crickets?
",258
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 tigers, 15 snakes, 6 giraffes, 5 leechs, 5 deers, 2 wasps?
",76
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 deers, 5 dogs, 5 humans, 1 wasp, 7 snakes, 12 scorpions, 2 ants, 15 sea slugs, 10 sheeps, 2 leechs?
",200
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 cats, 8 ants, 7 beetles, 2 lions?
",114
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 wasps, 6 fireflys, 1 flatworm, 12 humans, 2 beetles?
",114
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 starfishs, 11 chickens, 4 praying mantiss, 6 woodlouses, 3 crickets, 13 ants, 3 cockroachs, 7 lions?
",297
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 cows, 12 starfishs, 15 deers, 10 crabs, 4 elephants, 15 sea slugs, 4 dogs, 13 leechs, 14 scorpions, 8 lobsters?
",488
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 dogs, 14 butterflys, 7 bees, 12 tigers?
",222
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 jellyfishs, 12 horses, 6 lions, 14 wasps, 6 chickens, 4 starfishs, 2 butterflys, 9 sheeps, 9 spiders?
",308
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 lions, 2 crickets, 14 insects?
",148
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 ducks, 4 cats, 10 sea slugs?
",40
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 woodlouses, 12 fireflys, 8 birds?
",242
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 wasps, 10 deers, 6 starfishs, 13 snakes, 9 fireflys, 7 butterflys, 1 duck, 9 humans?
",264
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 lions, 14 sea slugs, 13 dogs?
",92
